student;source;target
-2723407435739553977;43 bmgc_seminar_15_pass_(1);44 calc_homework_low_(1)
-2723407435739553977;44 calc_homework_low_(1);45 bmgc_midterm_test_low_(1)
-2723407435739553977;45 bmgc_midterm_test_low_(1);46 calc_quiz_med_(1)
-2723407435739553977;46 calc_quiz_med_(1);47 calc_midterm_test_low_(1)
-2723407435739553977;47 calc_midterm_test_low_(1);48 calc_oral_test_med_(1)
-2723407435739553977;48 calc_oral_test_med_(1);49 calc_exam_low_(1)
-2723407435739553977;49 calc_exam_low_(1);50 calc_final_grade_low_(1)
-3128534611165448981;1 calc_class_1_absent_(1);2 bmgc_lecture_1_none_(1)
-3128534611165448981;2 bmgc_lecture_1_none_(1);3 bmgc_seminar_1_absent_(1)
-3128534611165448981;3 bmgc_seminar_1_absent_(1);4 calc_class_2_absent_(1)
-3128534611165448981;4 calc_class_2_absent_(1);5 bmgc_lecture_2_none_(1)
-3128534611165448981;5 bmgc_lecture_2_none_(1);6 bmgc_seminar_2_absent_(1)
-3128534611165448981;6 bmgc_seminar_2_absent_(1);7 calc_class_3_absent_(1)
-3128534611165448981;7 calc_class_3_absent_(1);8 bmgc_lecture_3_none_(1)
-3128534611165448981;8 bmgc_lecture_3_none_(1);9 calc_class_4_absent_(1)
-3128534611165448981;9 calc_class_4_absent_(1);10 bmgc_lecture_4_none_(1)
-3128534611165448981;10 bmgc_lecture_4_none_(1);11 bmgc_seminar_3_absent_(1)
-3128534611165448981;11 bmgc_seminar_3_absent_(1);12 calc_class_5_absent_(1)
-3128534611165448981;12 calc_class_5_absent_(1);13 bmgc_lecture_5_none_(1)
-3128534611165448981;13 bmgc_lecture_5_none_(1);14 bmgc_seminar_4_active_(1)
-3128534611165448981;14 bmgc_seminar_4_active_(1);15 calc_class_6_present_(1)
-3128534611165448981;15 calc_class_6_present_(1);16 bmgc_seminar_5_absent_(1)
-3128534611165448981;16 bmgc_seminar_5_absent_(1);17 calc_class_7_absent_(1)
-3128534611165448981;17 calc_class_7_absent_(1);18 bmgc_lecture_6_none_(1)
-3128534611165448981;18 bmgc_lecture_6_none_(1);19 bmgc_seminar_6_absent_(1)
-3128534611165448981;19 bmgc_seminar_6_absent_(1);20 calc_class_8_absent_(1)
-3128534611165448981;20 calc_class_8_absent_(1);21 bmgc_lecture_7_active_(1)
-3128534611165448981;21 bmgc_lecture_7_active_(1);22 bmgc_seminar_7_absent_(1)
-3128534611165448981;22 bmgc_seminar_7_absent_(1);23 calc_class_9_absent_(1)
-3128534611165448981;23 calc_class_9_absent_(1);24 bmgc_lecture_8_active_(1)
-3128534611165448981;24 bmgc_lecture_8_active_(1);25 bmgc_seminar_8_absent_(1)
-3128534611165448981;25 bmgc_seminar_8_absent_(1);26 calc_class_10_absent_(1)
-3128534611165448981;26 calc_class_10_absent_(1);27 bmgc_lecture_9_none_(1)
-3128534611165448981;27 bmgc_lecture_9_none_(1);28 bmgc_seminar_9_absent_(1)
-3128534611165448981;28 bmgc_seminar_9_absent_(1);29 calc_class_11_absent_(1)
-3128534611165448981;29 calc_class_11_absent_(1);30 bmgc_lecture_10_none_(1)
-3128534611165448981;30 bmgc_lecture_10_none_(1);31 bmgc_seminar_10_absent_(1)
-3128534611165448981;31 bmgc_seminar_10_absent_(1);32 calc_class_12_absent_(1)
-3128534611165448981;32 calc_class_12_absent_(1);33 bmgc_lecture_11_none_(1)
-3128534611165448981;33 bmgc_lecture_11_none_(1);34 bmgc_seminar_11_absent_(1)
-3128534611165448981;34 bmgc_seminar_11_absent_(1);35 calc_class_13_absent_(1)
-3128534611165448981;35 calc_class_13_absent_(1);36 bmgc_lecture_12_none_(1)
-3128534611165448981;36 bmgc_lecture_12_none_(1);37 bmgc_seminar_12_absent_(1)
-3128534611165448981;37 bmgc_seminar_12_absent_(1);38 calc_class_14_absent_(1)
-3128534611165448981;38 calc_class_14_absent_(1);39 bmgc_lecture_13_none_(1)
-3128534611165448981;39 bmgc_lecture_13_none_(1);40 bmgc_seminar_13_absent_(1)
-3128534611165448981;40 bmgc_seminar_13_absent_(1);41 bmgc_lecture_14_pass_(1)
-3128534611165448981;41 bmgc_lecture_14_pass_(1);42 bmgc_seminar_14_pass_(1)
-3128534611165448981;42 bmgc_seminar_14_pass_(1);43 bmgc_seminar_15_pass_(1)
-3128534611165448981;43 bmgc_seminar_15_pass_(1);44 calc_homework_none_(1)
-3128534611165448981;44 calc_homework_none_(1);45 bmgc_midterm_test_low_(1)
-3128534611165448981;45 bmgc_midterm_test_low_(1);46 calc_quiz_none_(1)
-3128534611165448981;46 calc_quiz_none_(1);47 calc_midterm_test_none_(1)
-3128534611165448981;47 calc_midterm_test_none_(1);48 calc_oral_test_none_(1)
-3128534611165448981;48 calc_oral_test_none_(1);49 calc_exam_none_(1)
-3128534611165448981;49 calc_exam_none_(1);50 calc_final_grade_none_(1)
-4261599705308096922;1 calc_class_1_present_(1);2 bmgc_lecture_1_none_(1)
-4261599705308096922;2 bmgc_lecture_1_none_(1);3 bmgc_seminar_1_absent_(1)
-4261599705308096922;3 bmgc_seminar_1_absent_(1);4 calc_class_2_present_(1)
-4261599705308096922;4 calc_class_2_present_(1);5 bmgc_lecture_2_present_(1)
-4261599705308096922;5 bmgc_lecture_2_present_(1);6 bmgc_seminar_2_present_(1)
-4261599705308096922;6 bmgc_seminar_2_present_(1);7 calc_class_3_present_(1)
-4261599705308096922;7 calc_class_3_present_(1);8 bmgc_lecture_3_none_(1)
-4261599705308096922;8 bmgc_lecture_3_none_(1);9 calc_class_4_present_(1)
-4261599705308096922;9 calc_class_4_present_(1);10 bmgc_lecture_4_none_(1)
-4261599705308096922;10 bmgc_lecture_4_none_(1);11 bmgc_seminar_3_present_(1)
-4261599705308096922;11 bmgc_seminar_3_present_(1);12 calc_class_5_present_(1)
-4261599705308096922;12 calc_class_5_present_(1);13 bmgc_lecture_5_none_(1)
-4261599705308096922;13 bmgc_lecture_5_none_(1);14 bmgc_seminar_4_active_(1)
-4261599705308096922;14 bmgc_seminar_4_active_(1);15 calc_class_6_present_(1)
-4261599705308096922;15 calc_class_6_present_(1);16 bmgc_seminar_5_present_(1)
-4261599705308096922;16 bmgc_seminar_5_present_(1);17 calc_class_7_absent_(1)
-4261599705308096922;17 calc_class_7_absent_(1);18 bmgc_lecture_6_none_(1)
-4261599705308096922;18 bmgc_lecture_6_none_(1);19 bmgc_seminar_6_present_(1)
-4261599705308096922;19 bmgc_seminar_6_present_(1);20 calc_class_8_present_(1)
-4261599705308096922;20 calc_class_8_present_(1);21 bmgc_lecture_7_none_(1)
-4261599705308096922;21 bmgc_lecture_7_none_(1);22 bmgc_seminar_7_present_(1)
-4261599705308096922;22 bmgc_seminar_7_present_(1);23 calc_class_9_present_(1)
-4261599705308096922;23 calc_class_9_present_(1);24 bmgc_lecture_8_none_(1)
-4261599705308096922;24 bmgc_lecture_8_none_(1);25 bmgc_seminar_8_absent_(1)
-4261599705308096922;25 bmgc_seminar_8_absent_(1);26 calc_class_10_present_(1)
-4261599705308096922;26 calc_class_10_present_(1);27 bmgc_lecture_9_none_(1)
-4261599705308096922;27 bmgc_lecture_9_none_(1);28 bmgc_seminar_9_present_(1)
-4261599705308096922;28 bmgc_seminar_9_present_(1);29 calc_class_11_present_(1)
-4261599705308096922;29 calc_class_11_present_(1);30 bmgc_lecture_10_none_(1)
-4261599705308096922;30 bmgc_lecture_10_none_(1);31 bmgc_seminar_10_present_(1)
-4261599705308096922;31 bmgc_seminar_10_present_(1);32 calc_class_12_present_(1)
-4261599705308096922;32 calc_class_12_present_(1);33 bmgc_lecture_11_none_(1)
-4261599705308096922;33 bmgc_lecture_11_none_(1);34 bmgc_seminar_11_absent_(1)
-4261599705308096922;34 bmgc_seminar_11_absent_(1);35 calc_class_13_present_(1)
-4261599705308096922;35 calc_class_13_present_(1);36 bmgc_lecture_12_none_(1)
-4261599705308096922;36 bmgc_lecture_12_none_(1);37 bmgc_seminar_12_absent_(1)
-4261599705308096922;37 bmgc_seminar_12_absent_(1);38 calc_class_14_present_(1)
-4261599705308096922;38 calc_class_14_present_(1);39 bmgc_lecture_13_none_(1)
-4261599705308096922;39 bmgc_lecture_13_none_(1);40 bmgc_seminar_13_present_(1)
-4261599705308096922;40 bmgc_seminar_13_present_(1);41 bmgc_lecture_14_pass_(1)
-4261599705308096922;41 bmgc_lecture_14_pass_(1);42 bmgc_seminar_14_pass_(1)
-4261599705308096922;42 bmgc_seminar_14_pass_(1);43 bmgc_seminar_15_pass_(1)
-4261599705308096922;43 bmgc_seminar_15_pass_(1);44 calc_homework_med_(1)
-4261599705308096922;44 calc_homework_med_(1);45 bmgc_midterm_test_med_(1)
-4261599705308096922;45 bmgc_midterm_test_med_(1);46 calc_quiz_high_(1)
-4261599705308096922;46 calc_quiz_high_(1);47 calc_midterm_test_low_(1)
-4261599705308096922;47 calc_midterm_test_low_(1);48 calc_oral_test_high_(1)
-4261599705308096922;48 calc_oral_test_high_(1);49 calc_exam_low_(1)
-4261599705308096922;49 calc_exam_low_(1);50 calc_final_grade_med_(1)
-4670750319649128363;1 calc_class_1_present_(1);2 bmgc_lecture_1_none_(1)
-4670750319649128363;2 bmgc_lecture_1_none_(1);3 bmgc_seminar_1_absent_(1)
-4670750319649128363;3 bmgc_seminar_1_absent_(1);4 calc_class_2_present_(1)
-4670750319649128363;4 calc_class_2_present_(1);5 bmgc_lecture_2_none_(1)
-4670750319649128363;5 bmgc_lecture_2_none_(1);6 bmgc_seminar_2_present_(1)
-4670750319649128363;6 bmgc_seminar_2_present_(1);7 calc_class_3_present_(1)
-4670750319649128363;7 calc_class_3_present_(1);8 bmgc_lecture_3_none_(1)
-4670750319649128363;8 bmgc_lecture_3_none_(1);9 calc_class_4_present_(1)
-4670750319649128363;9 calc_class_4_present_(1);10 bmgc_lecture_4_none_(1)
-4670750319649128363;10 bmgc_lecture_4_none_(1);11 bmgc_seminar_3_active_(1)
-4670750319649128363;11 bmgc_seminar_3_active_(1);12 calc_class_5_absent_(1)
-4670750319649128363;12 calc_class_5_absent_(1);13 bmgc_lecture_5_none_(1)
-4670750319649128363;13 bmgc_lecture_5_none_(1);14 bmgc_seminar_4_absent_(1)
-4670750319649128363;14 bmgc_seminar_4_absent_(1);15 calc_class_6_absent_(1)
-4670750319649128363;15 calc_class_6_absent_(1);16 bmgc_seminar_5_absent_(1)
-4670750319649128363;16 bmgc_seminar_5_absent_(1);17 calc_class_7_absent_(1)
-4670750319649128363;17 calc_class_7_absent_(1);18 bmgc_lecture_6_none_(1)
-4670750319649128363;18 bmgc_lecture_6_none_(1);19 bmgc_seminar_6_absent_(1)
-4670750319649128363;19 bmgc_seminar_6_absent_(1);20 calc_class_8_absent_(1)
-4670750319649128363;20 calc_class_8_absent_(1);21 bmgc_lecture_7_none_(1)
-4670750319649128363;21 bmgc_lecture_7_none_(1);22 bmgc_seminar_7_absent_(1)
-4670750319649128363;22 bmgc_seminar_7_absent_(1);23 calc_class_9_absent_(1)
-4670750319649128363;23 calc_class_9_absent_(1);24 bmgc_lecture_8_none_(1)
-4670750319649128363;24 bmgc_lecture_8_none_(1);25 bmgc_seminar_8_absent_(1)
-4670750319649128363;25 bmgc_seminar_8_absent_(1);26 calc_class_10_absent_(1)
-4670750319649128363;26 calc_class_10_absent_(1);27 bmgc_lecture_9_none_(1)
-4670750319649128363;27 bmgc_lecture_9_none_(1);28 bmgc_seminar_9_absent_(1)
-4670750319649128363;28 bmgc_seminar_9_absent_(1);29 calc_class_11_absent_(1)
-4670750319649128363;29 calc_class_11_absent_(1);30 bmgc_lecture_10_none_(1)
-4670750319649128363;30 bmgc_lecture_10_none_(1);31 bmgc_seminar_10_absent_(1)
-4670750319649128363;31 bmgc_seminar_10_absent_(1);32 calc_class_12_absent_(1)
-4670750319649128363;32 calc_class_12_absent_(1);33 bmgc_lecture_11_none_(1)
-4670750319649128363;33 bmgc_lecture_11_none_(1);34 bmgc_seminar_11_absent_(1)
-4670750319649128363;34 bmgc_seminar_11_absent_(1);35 calc_class_13_absent_(1)
-4670750319649128363;35 calc_class_13_absent_(1);36 bmgc_lecture_12_none_(1)
-4670750319649128363;36 bmgc_lecture_12_none_(1);37 bmgc_seminar_12_absent_(1)
-4670750319649128363;37 bmgc_seminar_12_absent_(1);38 calc_class_14_absent_(1)
-4670750319649128363;38 calc_class_14_absent_(1);39 bmgc_lecture_13_none_(1)
-4670750319649128363;39 bmgc_lecture_13_none_(1);40 bmgc_seminar_13_absent_(1)
-4670750319649128363;40 bmgc_seminar_13_absent_(1);41 bmgc_lecture_14_pass_(1)
-4670750319649128363;41 bmgc_lecture_14_pass_(1);42 bmgc_seminar_14_pass_(1)
-4670750319649128363;42 bmgc_seminar_14_pass_(1);43 bmgc_seminar_15_pass_(1)
-4670750319649128363;43 bmgc_seminar_15_pass_(1);44 calc_homework_low_(1)
-4670750319649128363;44 calc_homework_low_(1);45 bmgc_midterm_test_none_(1)
-4670750319649128363;45 bmgc_midterm_test_none_(1);46 calc_quiz_none_(1)
-4670750319649128363;46 calc_quiz_none_(1);47 calc_midterm_test_none_(1)
-4670750319649128363;47 calc_midterm_test_none_(1);48 calc_oral_test_none_(1)
-4670750319649128363;48 calc_oral_test_none_(1);49 calc_exam_none_(1)
-4670750319649128363;49 calc_exam_none_(1);50 calc_final_grade_none_(1)
-4719190162376077728;1 calc_class_1_present_(1);2 bmgc_lecture_1_none_(1)
-4719190162376077728;2 bmgc_lecture_1_none_(1);3 bmgc_seminar_1_active_(1)
-4719190162376077728;3 bmgc_seminar_1_active_(1);4 calc_class_2_present_(1)
-4719190162376077728;4 calc_class_2_present_(1);5 bmgc_lecture_2_active_(1)
-4719190162376077728;5 bmgc_lecture_2_active_(1);6 bmgc_seminar_2_present_(1)
-4719190162376077728;6 bmgc_seminar_2_present_(1);7 calc_class_3_absent_(1)
-4719190162376077728;7 calc_class_3_absent_(1);8 bmgc_lecture_3_none_(1)
-4719190162376077728;8 bmgc_lecture_3_none_(1);9 calc_class_4_present_(1)
-4719190162376077728;9 calc_class_4_present_(1);10 bmgc_lecture_4_none_(1)
-4719190162376077728;10 bmgc_lecture_4_none_(1);11 bmgc_seminar_3_present_(1)
-4719190162376077728;11 bmgc_seminar_3_present_(1);12 calc_class_5_present_(1)
-4719190162376077728;12 calc_class_5_present_(1);13 bmgc_lecture_5_none_(1)
-4719190162376077728;13 bmgc_lecture_5_none_(1);14 bmgc_seminar_4_active_(1)
-4719190162376077728;14 bmgc_seminar_4_active_(1);15 calc_class_6_present_(1)
-4719190162376077728;15 calc_class_6_present_(1);16 bmgc_seminar_5_absent_(1)
-4719190162376077728;16 bmgc_seminar_5_absent_(1);17 calc_class_7_absent_(1)
-4719190162376077728;17 calc_class_7_absent_(1);18 bmgc_lecture_6_none_(1)
-4719190162376077728;18 bmgc_lecture_6_none_(1);19 bmgc_seminar_6_present_(1)
-4719190162376077728;19 bmgc_seminar_6_present_(1);20 calc_class_8_present_(1)
-4719190162376077728;20 calc_class_8_present_(1);21 bmgc_lecture_7_none_(1)
-4719190162376077728;21 bmgc_lecture_7_none_(1);22 bmgc_seminar_7_absent_(1)
-4719190162376077728;22 bmgc_seminar_7_absent_(1);23 calc_class_9_present_(1)
-4719190162376077728;23 calc_class_9_present_(1);24 bmgc_lecture_8_none_(1)
-4719190162376077728;24 bmgc_lecture_8_none_(1);25 bmgc_seminar_8_active_(1)
-4719190162376077728;25 bmgc_seminar_8_active_(1);26 calc_class_10_present_(1)
-4719190162376077728;26 calc_class_10_present_(1);27 bmgc_lecture_9_none_(1)
-4719190162376077728;27 bmgc_lecture_9_none_(1);28 bmgc_seminar_9_present_(1)
-4719190162376077728;28 bmgc_seminar_9_present_(1);29 calc_class_11_present_(1)
-4719190162376077728;29 calc_class_11_present_(1);30 bmgc_lecture_10_none_(1)
-4719190162376077728;30 bmgc_lecture_10_none_(1);31 bmgc_seminar_10_present_(1)
-4719190162376077728;31 bmgc_seminar_10_present_(1);32 calc_class_12_present_(1)
-4719190162376077728;32 calc_class_12_present_(1);33 bmgc_lecture_11_none_(1)
-4719190162376077728;33 bmgc_lecture_11_none_(1);34 bmgc_seminar_11_present_(1)
-4719190162376077728;34 bmgc_seminar_11_present_(1);35 calc_class_13_present_(1)
-4719190162376077728;35 calc_class_13_present_(1);36 bmgc_lecture_12_none_(1)
-4719190162376077728;36 bmgc_lecture_12_none_(1);37 bmgc_seminar_12_absent_(1)
-4719190162376077728;37 bmgc_seminar_12_absent_(1);38 calc_class_14_present_(1)
-4719190162376077728;38 calc_class_14_present_(1);39 bmgc_lecture_13_none_(1)
-4719190162376077728;39 bmgc_lecture_13_none_(1);40 bmgc_seminar_13_present_(1)
-4719190162376077728;40 bmgc_seminar_13_present_(1);41 bmgc_lecture_14_pass_(1)
-4719190162376077728;41 bmgc_lecture_14_pass_(1);42 bmgc_seminar_14_pass_(1)
-4719190162376077728;42 bmgc_seminar_14_pass_(1);43 bmgc_seminar_15_pass_(1)
-4719190162376077728;43 bmgc_seminar_15_pass_(1);44 calc_homework_med_(1)
-4719190162376077728;44 calc_homework_med_(1);45 bmgc_midterm_test_none_(1)
-4719190162376077728;45 bmgc_midterm_test_none_(1);46 calc_quiz_med_(1)
-4719190162376077728;46 calc_quiz_med_(1);47 calc_midterm_test_med_(1)
-4719190162376077728;47 calc_midterm_test_med_(1);48 calc_oral_test_high_(1)
-4719190162376077728;48 calc_oral_test_high_(1);49 calc_exam_none_(1)
-4719190162376077728;49 calc_exam_none_(1);50 calc_final_grade_med_(1)
-4843808974749251034;1 calc_class_1_present_(1);2 bmgc_lecture_1_none_(1)
-4843808974749251034;2 bmgc_lecture_1_none_(1);3 bmgc_seminar_1_absent_(1)
-4843808974749251034;3 bmgc_seminar_1_absent_(1);4 calc_class_2_present_(1)
-4843808974749251034;4 calc_class_2_present_(1);5 bmgc_lecture_2_present_(1)
-4843808974749251034;5 bmgc_lecture_2_present_(1);6 bmgc_seminar_2_present_(1)
-4843808974749251034;6 bmgc_seminar_2_present_(1);7 calc_class_3_present_(1)
-4843808974749251034;7 calc_class_3_present_(1);8 bmgc_lecture_3_none_(1)
-4843808974749251034;8 bmgc_lecture_3_none_(1);9 calc_class_4_present_(1)
-4843808974749251034;9 calc_class_4_present_(1);10 bmgc_lecture_4_none_(1)
-4843808974749251034;10 bmgc_lecture_4_none_(1);11 bmgc_seminar_3_present_(1)
-4843808974749251034;11 bmgc_seminar_3_present_(1);12 calc_class_5_present_(1)
-4843808974749251034;12 calc_class_5_present_(1);13 bmgc_lecture_5_none_(1)
-4843808974749251034;13 bmgc_lecture_5_none_(1);14 bmgc_seminar_4_present_(1)
-4843808974749251034;14 bmgc_seminar_4_present_(1);15 calc_class_6_present_(1)
-4843808974749251034;15 calc_class_6_present_(1);16 bmgc_seminar_5_present_(1)
-4843808974749251034;16 bmgc_seminar_5_present_(1);17 calc_class_7_absent_(1)
-4843808974749251034;17 calc_class_7_absent_(1);18 bmgc_lecture_6_none_(1)
-4843808974749251034;18 bmgc_lecture_6_none_(1);19 bmgc_seminar_6_present_(1)
-4843808974749251034;19 bmgc_seminar_6_present_(1);20 calc_class_8_present_(1)
-4843808974749251034;20 calc_class_8_present_(1);21 bmgc_lecture_7_none_(1)
-4843808974749251034;21 bmgc_lecture_7_none_(1);22 bmgc_seminar_7_present_(1)
-4843808974749251034;22 bmgc_seminar_7_present_(1);23 calc_class_9_present_(1)
-4843808974749251034;23 calc_class_9_present_(1);24 bmgc_lecture_8_none_(1)
-4843808974749251034;24 bmgc_lecture_8_none_(1);25 bmgc_seminar_8_active_(1)
-4843808974749251034;25 bmgc_seminar_8_active_(1);26 calc_class_10_present_(1)
-4843808974749251034;26 calc_class_10_present_(1);27 bmgc_lecture_9_none_(1)
-4843808974749251034;27 bmgc_lecture_9_none_(1);28 bmgc_seminar_9_present_(1)
-4843808974749251034;28 bmgc_seminar_9_present_(1);29 calc_class_11_present_(1)
-4843808974749251034;29 calc_class_11_present_(1);30 bmgc_lecture_10_none_(1)
-4843808974749251034;30 bmgc_lecture_10_none_(1);31 bmgc_seminar_10_present_(1)
-4843808974749251034;31 bmgc_seminar_10_present_(1);32 calc_class_12_present_(1)
-4843808974749251034;32 calc_class_12_present_(1);33 bmgc_lecture_11_none_(1)
-4843808974749251034;33 bmgc_lecture_11_none_(1);34 bmgc_seminar_11_present_(1)
-4843808974749251034;34 bmgc_seminar_11_present_(1);35 calc_class_13_present_(1)
-4843808974749251034;35 calc_class_13_present_(1);36 bmgc_lecture_12_none_(1)
-4843808974749251034;36 bmgc_lecture_12_none_(1);37 bmgc_seminar_12_present_(1)
-4843808974749251034;37 bmgc_seminar_12_present_(1);38 calc_class_14_present_(1)
-4843808974749251034;38 calc_class_14_present_(1);39 bmgc_lecture_13_none_(1)
-4843808974749251034;39 bmgc_lecture_13_none_(1);40 bmgc_seminar_13_present_(1)
-4843808974749251034;40 bmgc_seminar_13_present_(1);41 bmgc_lecture_14_pass_(1)
-4843808974749251034;41 bmgc_lecture_14_pass_(1);42 bmgc_seminar_14_pass_(1)
-4843808974749251034;42 bmgc_seminar_14_pass_(1);43 bmgc_seminar_15_pass_(1)
-4843808974749251034;43 bmgc_seminar_15_pass_(1);44 calc_homework_med_(1)
-4843808974749251034;44 calc_homework_med_(1);45 bmgc_midterm_test_med_(1)
-4843808974749251034;45 bmgc_midterm_test_med_(1);46 calc_quiz_med_(1)
-4843808974749251034;46 calc_quiz_med_(1);47 calc_midterm_test_low_(1)
-4843808974749251034;47 calc_midterm_test_low_(1);48 calc_oral_test_med_(1)
-4843808974749251034;48 calc_oral_test_med_(1);49 calc_exam_low_(1)
-4843808974749251034;49 calc_exam_low_(1);50 calc_final_grade_low_(1)
-6531824385696264114;1 calc_class_1_present_(1);2 bmgc_lecture_1_none_(1)
-6531824385696264114;2 bmgc_lecture_1_none_(1);3 bmgc_seminar_1_absent_(1)
-6531824385696264114;3 bmgc_seminar_1_absent_(1);4 calc_class_2_present_(1)
-6531824385696264114;4 calc_class_2_present_(1);5 bmgc_lecture_2_none_(1)
-6531824385696264114;5 bmgc_lecture_2_none_(1);6 bmgc_seminar_2_present_(1)
-6531824385696264114;6 bmgc_seminar_2_present_(1);7 calc_class_3_present_(1)
-6531824385696264114;7 calc_class_3_present_(1);8 bmgc_lecture_3_none_(1)
-6531824385696264114;8 bmgc_lecture_3_none_(1);9 calc_class_4_absent_(1)
-6531824385696264114;9 calc_class_4_absent_(1);10 bmgc_lecture_4_none_(1)
-6531824385696264114;10 bmgc_lecture_4_none_(1);11 bmgc_seminar_3_present_(1)
-6531824385696264114;11 bmgc_seminar_3_present_(1);12 calc_class_5_absent_(1)
-6531824385696264114;12 calc_class_5_absent_(1);13 bmgc_lecture_5_none_(1)
-6531824385696264114;13 bmgc_lecture_5_none_(1);14 bmgc_seminar_4_absent_(1)
-6531824385696264114;14 bmgc_seminar_4_absent_(1);15 calc_class_6_absent_(1)
-6531824385696264114;15 calc_class_6_absent_(1);16 bmgc_seminar_5_present_(1)
-6531824385696264114;16 bmgc_seminar_5_present_(1);17 calc_class_7_absent_(1)
-6531824385696264114;17 calc_class_7_absent_(1);18 bmgc_lecture_6_none_(1)
-6531824385696264114;18 bmgc_lecture_6_none_(1);19 bmgc_seminar_6_absent_(1)
-6531824385696264114;19 bmgc_seminar_6_absent_(1);20 calc_class_8_absent_(1)
-6531824385696264114;20 calc_class_8_absent_(1);21 bmgc_lecture_7_none_(1)
-6531824385696264114;21 bmgc_lecture_7_none_(1);22 bmgc_seminar_7_absent_(1)
-6531824385696264114;22 bmgc_seminar_7_absent_(1);23 calc_class_9_absent_(1)
-6531824385696264114;23 calc_class_9_absent_(1);24 bmgc_lecture_8_none_(1)
-6531824385696264114;24 bmgc_lecture_8_none_(1);25 bmgc_seminar_8_absent_(1)
-6531824385696264114;25 bmgc_seminar_8_absent_(1);26 calc_class_10_absent_(1)
-6531824385696264114;26 calc_class_10_absent_(1);27 bmgc_lecture_9_none_(1)
